time,text,sentiment
2020-07-18 13:33:20,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:33:19,b'RT @FrontalAssault1: US President Donald Trump might use International Emergency Economic Powers Act to ban Tiktok in US. This act gives th\xe2\x80\xa6',positive
2020-07-18 13:33:19,b'@rawhide1984 @reaIDonalTrump_ Fake account... it is a satire. Not the real Donald Trump',negative
2020-07-18 13:33:19,b'RT @IsaacDovere: The result is Donald Trump is a president who interrupts the State of the Union to give the Medal of Freedom to Rush Limba\xe2\x80\xa6',neutral
2020-07-18 13:33:19,b'RT @JoyAnnReid: Donald Trump has now activated the \xe2\x80\x9csecret police\xe2\x80\x9d setting in the autocrat\xe2\x80\x99s playbook. #PortlandKidnappings #PortlandProtes\xe2\x80\xa6',negative
2020-07-18 13:35:47,"b""RT @charliekirk11: Donald Trump sacrificed his family's wealth for our nation, Joe Biden sacrificed our nation for his family's wealth.""",neutral
2020-07-18 13:35:47,"b'RT @TorresGotay: Donald Trump no ha dicho una palabra sobre la muerte anoche del congresista John Lewis, icono de la lucha por los derechos\xe2\x80\xa6'",neutral
2020-07-18 13:35:47,b'RT @glamelegance: @PressSec John Lewis is a National Treasure and a Civil Rights icon who dedicated his life and shed his blood for freedom\xe2\x80\xa6',neutral
2020-07-18 13:35:47,"b'RT @ThePubliusUSA: So Donald Trump is muzzling the CDC, preventing it from testifying to Congress regarding whether to open schools. That i\xe2\x80\xa6'",neutral
2020-07-18 13:35:46,"b'RT @AnneFarmer65: \xf0\x9f\x93\x9bDonald Trump, oppos\xc3\xa9 de longue date \xc3\xa0 George Soros, estime que le financier cherche \xc3\xa0 d\xc3\xa9stabiliser sa pr\xc3\xa9sidence...\n\n\xf0\x9f\x91\x89 S\xe2\x80\xa6'",neutral
2020-07-18 13:35:45,"b""RT @donwinslow: Don't believe anything Donald Trump or The White House tells you.""",neutral
2020-07-18 13:35:45,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:35:45,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:35:44,b'RT @ThePubliusUSA: My question remains unanswered: why is Donald Trump trying to unmask the person who leaked the Russian bounty story inst\xe2\x80\xa6',negative
2020-07-18 13:35:44,b'RT @Gregorytheartx: @GaetaSusan @hickory66 @realDonaldTrump @realDonaldTrump One leader 4 All America Donald Trump',neutral
2020-07-18 13:35:44,"b""RT @fred_guttenberg: I am voting for @JoeBiden.  He won't militarize our democratic streets. Today's reminder DONALD TRUMP IS LETTING THE R\xe2\x80\xa6""",neutral
2020-07-18 13:35:44,b'RT @Weinsteinlaw: Donald Trump has now officially spent more time attacking his niece over her book than he\xe2\x80\x99s spent criticizing Vladimir Pu\xe2\x80\xa6',positive
2020-07-18 13:35:43,b'Absolutely Go Donald Trump for President 2020. https://t.co/y9xpVEfovU',positive
